-2,-219
-3,-220
-2,-220
-3,-220
-2,-220
0,-220
9,-220
14,-218
19,-219
25,-218
29,-217
35,-216
35,-215
44,-214
53,-212
65,-209
69,-207
77,-204
82,-201
90,-197
97,-193
101,-191
106,-189
112,-185
123,-177
129,-174
137,-167
144,-161
151,-154
157,-146
165,-141
174,-130
180,-122
182,-117
180,-117
182,-118
183,-117
183,-118
182,-117
182,-117
182,-118
182,-118
182,-116
189,-107
195,-93
201,-83
205,-70
209,-59
214,-45
218,-29
219,-16
220,-4
220,7
220,18
219,32
217,46
214,57
212,66
206,83
205,88
202,93
200,99
196,108
189,119
185,128
174,141
168,151
158,161
149,169
133,182
127,186
127,186
126,184
126,185
125,186
125,187
109,197
96,204
81,211
68,213
50,219
29,224
7,224
-8,224
-28,222
-61,214
-75,210
-88,204
-97,199
-105,196
-112,191
-123,184
-132,179
-137,175
-148,165
-161,152
-167,144
-180,129
-191,114
-191,111
-193,111
-192,112
-192,111
-192,110
-193,111
-194,108
-198,102
-201,94
-202,88
-204,89
-205,84
-206,80
-209,76
-211,69
-211,69
-211,66
-211,66
-212,61
-215,61
-214,57
-216,55
-215,53
-216,53
-217,50
-217,44
-218,37
-222,30
-222,19
-223,6
-224,-1
-223,-8
-223,-20
-222,-25
-222,-28
-222,-35
-219,-46
-217,-57
-215,-63
-213,-71
-207,-87
-199,-103
-191,-118
-186,-128
-185,-127
-185,-130
-184,-129
-185,-128
-185,-128
-185,-130
-181,-135
-171,-146
-159,-160
-143,-173
-134,-182
-124,-188
-123,-188
-124,-188
-123,-187
-123,-188
-117,-191
-101,-200
-76,-209
-56,-215
-31,-218
-21,-221
-7,-220
2,-220
12,-219
21,-217
30,-217
41,-215
49,-213
60,-210
75,-205
85,-200
100,-193
123,-179
140,-166
150,-157
161,-145
161,-145
160,-146
162,-145
160,-145
160,-146
160,-144
161,-146
160,-144
161,-145
165,-141
169,-134
174,-128
179,-119
185,-110
193,-97
199,-89
199,-82
204,-74
207,-68
208,-63
210,-58
211,-52
213,-46
215,-37
218,-25
218,-15
219,-4
220,6
219,13
219,18
218,24
217,35
217,44
213,54
213,63
212,67
208,75
206,86
201,95
199,102
195,109
187,122
173,142
157,161
137,178
135,180
135,182
134,180
134,181
128,184
119,193
112,195
100,202
86,209
71,213
60,218
48,219
39,222
24,225
16,224
3,225
-15,225
-24,223
-36,222
-53,216
-67,212
-82,208
-94,202
-108,196
-121,186
-131,180
-143,171
-151,162
-158,157
-157,157
-157,158
-157,157
-160,156
-177,136
-181,130
-189,118
-194,107
-201,96
-206,83
-208,76
-213,63
-217,50
-219,42
-220,29
-222,12
-223,0
-223,-14
-220,-38
-219,-45
-215,-60
-214,-69
-210,-80
-206,-93
-195,-112
-183,-132
-184,-132
-183,-133
-181,-132
-182,-131
-178,-138
-168,-147
-158,-159
-148,-168
-138,-177
-132,-181
-123,-188
-111,-194
-103,-197
-92,-203
-78,-209
-59,-214
-44,-217
-36,-218
-26,-220
-17,-221
-12,-221
-7,-221
-6,-220
-5,-222
3,-220
10,-220
16,-219
20,-218
32,-215
41,-217
48,-214
56,-211
60,-208
71,-206
78,-203
