#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A364CE
#Date Time: 2025-04-29 12:42:46.444
#Sample rate: 712.347Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: -550 mV Sample Mode: Average
#Channel 2: Range: 1.5 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 200 mHz
#Period: 5 s
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 1 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-5.907232526114379,0.5655669623326267,-0.005450445986260739
-5.90582871611438,0.5583000274043822,-0.005450445986260739
-5.904424906114379,0.5583000274043789,-0.005450445986260739
-5.903021096114379,0.5583000274043789,-0.005450445986260739
-5.90161728611438,0.5586303426283898,-0.005450445986260739
-5.900213476114379,0.5586303426283902,-0.005450445986260739
-5.89880966611438,0.5586303426283902,-0.005450445986260739
-5.89740585611438,0.5586303426283902,-0.005450445986260739
-5.896002046114379,0.5586303426283902,-0.005450445986260739
-5.89459823611438,0.5586303426283902,-0.005450445986260739
-5.893194426114379,0.5586303426283902,-0.005450445986260739
-5.891790616114379,0.5586303426283902,-0.005450445986260739
-5.89038680611438,0.5586303426283902,-0.005450445986260739
-5.888982996114379,0.5586303426283902,-0.005450445986260739
-5.88757918611438,0.5586303426283902,-0.005450445986260739
-5.88617537611438,0.5586303426283902,-0.005450445986260739
-5.884771566114379,0.5589606578524015,-0.005450445986260739
-5.88336775611438,0.5589606578524015,-0.005450445986260739
-5.881963946114379,0.5589606578524015,-0.005450445986260739
-5.880560136114379,0.5589606578524015,-0.00179275621456376
-5.87915632611438,0.5589606578524015,-0.005450445986257412
-5.877752516114379,0.5589606578524015,-0.005450445986260739
-5.87634870611438,0.5589606578524015,-0.005450445986260739
-5.87494489611438,0.5589606578524015,-0.005450445986260739
-5.873541086114379,0.5589606578524015,-0.005450445986260739
-5.87213727611438,0.5589606578524015,-0.005450445986260739
-5.870733466114379,0.5589606578524016,-0.005450445986260739
-5.869329656114379,0.5592909730764127,-0.005450445986260739
-5.86792584611438,0.5592909730764127,-0.005450445986260739
-5.866522036114379,0.5592909730764127,-0.005450445986260739
-5.865118226114379,0.5592909730764127,-0.005450445986260739
-5.86371441611438,0.5592909730764127,-0.005450445986260739
-5.862310606114379,0.5592909730764127,-0.005450445986260739
-5.86090679611438,0.5592909730764127,-0.005450445986260739
-5.859502986114379,0.5592909730764127,-0.005450445986260739
-5.858099176114379,0.5592909730764127,-0.005450445986260739
-5.85669536611438,0.5592909730764127,-0.005450445986260739
-5.855291556114379,0.559621288300424,-0.005450445986260739
-5.853887746114379,0.559621288300424,-0.005450445986260739
-5.85248393611438,0.559621288300424,-0.005450445986260739
-5.851080126114379,0.559621288300424,-0.005450445986260739
-5.84967631611438,0.559621288300424,-0.005450445986260739
-5.848272506114379,0.559621288300424,-0.005450445986260739
-5.846868696114379,0.559621288300424,-0.005450445986260739
-5.84546488611438,0.559621288300424,-0.005450445986260739
-5.844061076114379,0.559621288300424,-0.005450445986260739
-5.842657266114379,0.559621288300424,-0.005450445986260739
-5.84125345611438,0.559621288300424,-0.005450445986260739
-5.839849646114379,0.559621288300424,-0.005450445986260739
-5.83844583611438,0.559621288300424,-0.005450445986260739
-5.83704202611438,0.559621288300424,-0.005450445986260739
-5.835638216114379,0.5599516035244353,-0.005450445986260739
-5.83423440611438,0.5599516035244353,-0.005450445986260739
-5.832830596114379,0.5599516035244353,-0.005450445986260739
-5.831426786114379,0.5599516035244353,-0.005450445986260739
-5.83002297611438,0.5599516035244353,-0.005450445986260739
-5.828619166114379,0.5599516035244353,-0.005450445986260739
-5.82721535611438,0.5599516035244353,-0.005450445986260739
-5.82581154611438,0.5599516035244353,-0.005450445986260739
-5.824407736114379,0.5599516035244353,-0.005450445986260739
-5.82300392611438,0.5599516035244353,-0.005450445986260739
-5.821600116114379,0.5599516035244353,-0.005450445986260739
-5.820196306114379,0.5599516035244353,-0.005450445986260739
-5.81879249611438,0.5599516035244353,-0.005450445986260739
-5.817388686114379,0.5599516035244353,-0.005450445986260739
-5.81598487611438,0.5602819187484464,-0.005450445986260739
-5.81458106611438,0.5602819187484465,-0.005450445986260739
-5.813177256114379,0.5602819187484465,-0.005450445986260739
-5.81177344611438,0.5602819187484465,-0.005450445986260739
-5.810369636114379,0.5602819187484465,-0.005450445986260739
-5.808965826114379,0.5602819187484465,-0.005450445986260739
-5.80756201611438,0.5602819187484465,-0.005450445986260739
-5.806158206114379,0.5602819187484465,-0.005450445986260739
-5.804754396114379,0.5602819187484465,-0.005450445986260739
-5.80335058611438,0.5602819187484465,-0.005450445986260739
-5.801946776114379,0.5602819187484465,-0.005450445986260739
-5.80054296611438,0.5602819187484465,-0.005450445986260739
-5.799139156114379,0.5602819187484465,-0.005450445986260739
-5.797735346114379,0.5602819187484465,-0.005450445986260739
-5.79633153611438,0.5606122339724576,-0.005450445986260739
-5.794927726114379,0.5606122339724577,-0.005450445986260739
-5.793523916114379,0.5606122339724577,-0.005450445986260739
-5.79212010611438,0.5606122339724577,-0.005450445986260739
-5.790716296114379,0.5606122339724577,-0.005450445986260739
-5.78931248611438,0.5606122339724577,-0.005450445986260739
-5.78790867611438,0.5606122339724577,-0.005450445986260739
