Freq.	V(vout)
1.00809160936429e-02	(-6.02236889567316e+00dB,-1.15631854357631e+00°)
1.00832375776155e-02	(-6.02236971034127e+00dB,-1.15658475409323e+00°)
1.00855595961910e-02	(-6.02237052538447e+00dB,-1.15685102586449e+00°)
1.00878821494927e-02	(-6.02237134080295e+00dB,-1.15711735890416e+00°)
1.00902052376435e-02	(-6.02237215659687e+00dB,-1.15738375322630e+00°)
1.00925288607668e-02	(-6.02237297276642e+00dB,-1.15765020884500e+00°)
1.00948530189857e-02	(-6.02237378931176e+00dB,-1.15791672577435e+00°)
1.00971777124234e-02	(-6.02237460623306e+00dB,-1.15818330402842e+00°)
1.00995029412032e-02	(-6.02237542353051e+00dB,-1.15844994362129e+00°)
1.01018287054483e-02	(-6.02237624120426e+00dB,-1.15871664456707e+00°)
1.01041550052821e-02	(-6.02237705925450e+00dB,-1.15898340687985e+00°)
1.01064818408279e-02	(-6.02237787768140e+00dB,-1.15925023057372e+00°)
1.01088092122091e-02	(-6.02237869648514e+00dB,-1.15951711566279e+00°)
1.01111371195490e-02	(-6.02237951566587e+00dB,-1.15978406216115e+00°)
1.01134655629712e-02	(-6.02238033522379e+00dB,-1.16005107008292e+00°)
1.01157945425989e-02	(-6.02238115515906e+00dB,-1.16031813944220e+00°)
1.01181240585558e-02	(-6.02238197547185e+00dB,-1.16058527025311e+00°)
1.01204541109654e-02	(-6.02238279616235e+00dB,-1.16085246252976e+00°)
1.01227846999511e-02	(-6.02238361723071e+00dB,-1.16111971628628e+00°)
1.01251158256365e-02	(-6.02238443867713e+00dB,-1.16138703153678e+00°)
1.01274474881453e-02	(-6.02238526050177e+00dB,-1.16165440829540e+00°)
1.01297796876010e-02	(-6.02238608270480e+00dB,-1.16192184657626e+00°)
1.01321124241273e-02	(-6.02238690528641e+00dB,-1.16218934639350e+00°)
1.01344456978479e-02	(-6.02238772824676e+00dB,-1.16245690776124e+00°)
1.01367795088864e-02	(-6.02238855158602e+00dB,-1.16272453069364e+00°)
1.01391138573667e-02	(-6.02238937530438e+00dB,-1.16299221520483e+00°)
1.01414487434125e-02	(-6.02239019940201e+00dB,-1.16325996130896e+00°)
1.01437841671476e-02	(-6.02239102387908e+00dB,-1.16352776902018e+00°)
1.01461201286958e-02	(-6.02239184873576e+00dB,-1.16379563835264e+00°)
1.01484566281809e-02	(-6.02239267397224e+00dB,-1.16406356932049e+00°)
1.01507936657269e-02	(-6.02239349958868e+00dB,-1.16433156193790e+00°)
1.01531312414576e-02	(-6.02239432558526e+00dB,-1.16459961621902e+00°)
1.01554693554969e-02	(-6.02239515196216e+00dB,-1.16486773217802e+00°)
1.01578080079689e-02	(-6.02239597871955e+00dB,-1.16513590982907e+00°)
1.01601471989976e-02	(-6.02239680585761e+00dB,-1.16540414918634e+00°)
1.01624869287069e-02	(-6.02239763337650e+00dB,-1.16567245026400e+00°)
1.01648271972209e-02	(-6.02239846127642e+00dB,-1.16594081307624e+00°)
1.01671680046637e-02	(-6.02239928955752e+00dB,-1.16620923763723e+00°)
1.01695093511594e-02	(-6.02240011822000e+00dB,-1.16647772396116e+00°)
1.01718512368321e-02	(-6.02240094726401e+00dB,-1.16674627206222e+00°)
1.01741936618060e-02	(-6.02240177668975e+00dB,-1.16701488195459e+00°)
1.01765366262053e-02	(-6.02240260649737e+00dB,-1.16728355365247e+00°)
1.01788801301542e-02	(-6.02240343668707e+00dB,-1.16755228717007e+00°)
1.01812241737769e-02	(-6.02240426725902e+00dB,-1.16782108252157e+00°)
1.01835687571978e-02	(-6.02240509821338e+00dB,-1.16808993972118e+00°)
1.01859138805411e-02	(-6.02240592955035e+00dB,-1.16835885878312e+00°)
1.01882595439312e-02	(-6.02240676127008e+00dB,-1.16862783972159e+00°)
1.01906057474924e-02	(-6.02240759337277e+00dB,-1.16889688255080e+00°)
1.01929524913492e-02	(-6.02240842585859e+00dB,-1.16916598728497e+00°)
1.01952997756259e-02	(-6.02240925872770e+00dB,-1.16943515393833e+00°)
1.01976476004471e-02	(-6.02241009198029e+00dB,-1.16970438252509e+00°)
1.01999959659371e-02	(-6.02241092561655e+00dB,-1.16997367305948e+00°)
1.02023448722206e-02	(-6.02241175963663e+00dB,-1.17024302555573e+00°)
1.02046943194219e-02	(-6.02241259404071e+00dB,-1.17051244002808e+00°)
1.02070443076658e-02	(-6.02241342882899e+00dB,-1.17078191649076e+00°)
1.02093948370767e-02	(-6.02241426400163e+00dB,-1.17105145495801e+00°)
1.02117459077794e-02	(-6.02241509955881e+00dB,-1.17132105544407e+00°)
1.02140975198984e-02	(-6.02241593550070e+00dB,-1.17159071796320e+00°)
1.02164496735585e-02	(-6.02241677182749e+00dB,-1.17186044252963e+00°)
1.02188023688843e-02	(-6.02241760853934e+00dB,-1.17213022915763e+00°)
1.02211556060006e-02	(-6.02241844563645e+00dB,-1.17240007786144e+00°)
1.02235093850322e-02	(-6.02241928311897e+00dB,-1.17266998865533e+00°)
1.02258637061038e-02	(-6.02242012098711e+00dB,-1.17293996155357e+00°)
1.02282185693404e-02	(-6.02242095924101e+00dB,-1.17320999657040e+00°)
1.02305739748666e-02	(-6.02242179788088e+00dB,-1.17348009372012e+00°)
1.02329299228074e-02	(-6.02242263690689e+00dB,-1.17375025301698e+00°)
1.02352864132878e-02	(-6.02242347631920e+00dB,-1.17402047447526e+00°)
1.02376434464327e-02	(-6.02242431611801e+00dB,-1.17429075810924e+00°)
1.02400010223669e-02	(-6.02242515630348e+00dB,-1.17456110393321e+00°)
1.02423591412156e-02	(-6.02242599687580e+00dB,-1.17483151196144e+00°)
1.02447178031037e-02	(-6.02242683783514e+00dB,-1.17510198220823e+00°)
1.02470770081563e-02	(-6.02242767918169e+00dB,-1.17537251468787e+00°)
1.02494367564986e-02	(-6.02242852091562e+00dB,-1.17564310941466e+00°)
1.02517970482555e-02	(-6.02242936303710e+00dB,-1.17591376640289e+00°)
1.02541578835522e-02	(-6.02243020554632e+00dB,-1.17618448566686e+00°)
1.02565192625140e-02	(-6.02243104844346e+00dB,-1.17645526722088e+00°)
1.02588811852659e-02	(-6.02243189172870e+00dB,-1.17672611107926e+00°)
1.02612436519333e-02	(-6.02243273540220e+00dB,-1.17699701725630e+00°)
1.02636066626414e-02	(-6.02243357946416e+00dB,-1.17726798576633e+00°)
1.02659702175154e-02	(-6.02243442391475e+00dB,-1.17753901662366e+00°)
1.02683343166808e-02	(-6.02243526875414e+00dB,-1.17781010984261e+00°)
1.02706989602627e-02	(-6.02243611398252e+00dB,-1.17808126543752e+00°)
1.02730641483867e-02	(-6.02243695960008e+00dB,-1.17835248342269e+00°)
